Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
0.69399,0.68706,0.69875,0.00012,-0.00037,0.0025,60,0.1,0.0005,10,0,WAIT
0.69597,0.68746,0.69841,0.00040,-0.00034,-0.001,0,0,0.0005,0,10,WAIT
0.69421,0.68798,0.69814,0.00052,-0.00027,-0.0005,-40,0.1,0,0,0,SELL
0.69381,0.68889,0.69791,0.00090,-0.00024,-0.0025,-40,0,0,0,0,WAIT
0.69514,0.68922,0.69770,0.00033,-0.00020,0.001,20,0,-0.0005,0,-10,SELL
0.69294,0.68979,0.69752,0.00057,-0.00019,0,-60,0,0,0,-10,STRONGBUY
0.69364,0.69027,0.69728,0.00048,-0.00023,-0.00069,0,-0.2,-0.0005,0,-10,STRONGBUY
0.6932,0.69059,0.69702,0.00032,-0.00026,-0.00131,0,0.1,0,0,-10,STRONGBUY
0.69821,0.69103,0.69680,0.00045,-0.00022,nan,80,0,0,0,30,SELL
0.69787,0.69190,0.69668,0.00087,-0.00012,0.0005,-20,0.2,0,0,0,BUY
0.69985,0.69298,0.69663,0.00108,-0.00006,0.0005,60,0,0,10,10,SELL
0.69718,0.69409,0.69659,0.00111,-0.00004,-0.0015,-100,-0.1,0,-10,-10,WAIT
0.7005,0.69468,0.69651,0.00059,-0.00008,0,80,-0.1,0,10,0,SELL
0.69764,0.69550,0.69652,0.00082,0.00002,0.001,-100,0,-0.0005,-10,-10,STRONGSELL
0.69659,0.69601,0.69641,0.00051,-0.00012,-0.004,-40,-0.1,0,0,-20,STRONGSELL
0.699,0.69620,0.69618,0.00019,-0.00023,0.0005,60,0.1,0,0,-10,STRONGSELL
0.69164,0.69641,0.69598,0.00022,-0.00020,0.0005,-200,-0.2,-0.001,-10,-10,STRONGBUY
0.69301,0.69623,0.69566,-0.00018,-0.00032,-nan,40,0,0,0,0,STRONGBUY
0.69468,0.69617,0.69538,-0.00006,-0.00027,0.001,60,0,-0.0005,0,0,BUY
0.69722,0.69614,0.69514,-0.00003,-0.00025,0.0015,60,0,0.0005,10,20,WAIT
0.6965,0.69645,0.69491,0.00031,-0.00023,-0.0015,-40,0.1,0,0,20,BUY
0.69634,0.69665,0.69459,0.00020,-0.00032,0.0015,0,0,0,0,10,BUY
0.69742,0.69687,0.69427,0.00022,-0.00032,0,40,-0.1,0,0,10,WAIT
0.6977,0.69682,0.69402,-0.00006,-0.00025,0.0005,0,0,0.0005,0,0,WAIT
0.69775,0.69681,0.69374,-0.00001,-0.00028,-0.001,20,0,0,0,0,STRONGBUY
0.69691,0.69666,0.69344,-0.00015,-0.00031,0,-40,0,0,0,-20,STRONGBUY
0.69864,0.69664,0.69317,-0.00002,-0.00027,0.001,80,0.1,0,0,0,STRONGBUY
0.70335,0.69650,0.69299,-0.00013,-0.00018,0.004,100,0,0.0005,10,10,STRONGBUY
0.70223,0.69691,0.69310,0.00041,0.00011,0,-40,0.1,0,0,0,STRONGBUY
0.70362,0.69731,0.69318,0.00040,0.00008,-0.0015,20,-0.1,0,0,0,WAIT
0.70643,0.69764,0.69332,0.00033,0.00014,0.0025,0,0.3,0.0005,0,10,SELL
0.70611,0.69870,0.69353,0.00106,0.00021,-0.001,-40,0,0,0,0,WAIT
0.70445,0.69964,0.69382,0.00094,0.00028,-0.0015,-60,0,-0.0005,0,-10,BUY
0.70469,0.70033,0.69415,0.00070,0.00034,-0.00133,0,-0.1,0,0,-10,SELL
0.70551,0.70087,0.69450,0.00053,0.00034,0.00133,0,0.1,0,0,-10,STRONGSELL
0.70593,0.70151,0.69483,0.00064,0.00033,0,0,0,0,0,0,STRONGSELL
0.70365,0.70220,0.69517,0.00069,0.00034,-0.002,-40,-0.1,-0.0005,-10,-20,SELL
0.70179,0.70264,0.69548,0.00044,0.00030,-0.002,-60,-0.1,-0.0005,0,-10,SELL
0.69997,0.70293,0.69574,0.00029,0.00026,-0.0005,-60,0,-0.0005,-10,-10,STRONGBUY
0.70206,0.70309,0.69611,0.00016,0.00037,-0.0005,39.95,0,0,10,0,BUY
0.70021,0.70346,0.69637,0.00037,0.00026,0,-79.95,-0.1,0,-10,10,STRONGSELL
0.70425,0.70357,0.69663,0.00011,0.00026,0.0025,160,0,0,10,20,STRONGSELL
0.70415,0.70364,0.69699,0.00006,0.00036,-0.0005,-20,-0.1,0,0,20,STRONGSELL
0.69599,0.70377,0.69729,0.00014,0.00030,0.002,-210,0,-0.00025,-10,-10,WAIT
0.69611,0.70323,0.69747,-0.00054,0.00018,-0.0075,50,-0.2,-0.00025,0,-30,SELL
0.69424,0.70249,0.69767,-0.00074,0.00020,0.0005,0,0,0,-10,-10,BUY
0.69503,0.70164,0.69790,-0.00085,0.00023,0.0005,40,0,-0.0005,10,0,STRONGBUY
0.69358,0.70097,0.69812,-0.00067,0.00022,-0.0005,0,0,0,-10,-10,STRONGBUY
0.69702,0.70018,0.69821,-0.00079,0.00009,0.0025,59.95,0,0.0005,10,20,STRONGBUY
0.6992,0.69957,0.69837,-0.00061,0.00016,0.001,60.05,0.1,0.0005,10,20,BUY
